numTries,size,x1,x2,fmin,time
2,41,0.26178206520529,0,-0.549822990652587,0.070840958
3,41,0.261960611728448,0,-0.549805672348186,0.167309958
4,41,0.261855276030582,0,-0.549815882545966,0.172577167
1,41,0.432400229359293,0.564541659134368,-0.572900595081326,0.032250875
2,41,0.432149701963418,0.566688663407823,-0.570792916701747,0.033102125
3,41,0.432169284127949,0.566650113789012,-0.570829130758897,0.054966875
4,41,0.43218328687954,0.566786952260472,-0.57069158018529,0.055052833
1,41,0.891503757170971,0,-0.676538023477095,0.086457625
2,41,0.894912837719212,0,-0.677890281376509,0.128988792
3,41,0.89490610336342,0,-0.677887595862291,0.163051958
4,41,0.894944318687317,0,-0.677902836046239,0.393816833
1,41,-0.477451066300614,0.399551365958315,-0.59008401627068,0.034415292
2,41,-0.477616947261693,0.399821702896552,-0.590284206025217,0.120148042
3,41,-0.477299195726897,0.399557798063083,-0.589934326873679,0.115331958
4,41,-0.477494440454718,0.399843968077514,-0.590165731204545,0.097871083
1,41,-0.844830145132019,0.476387307476888,-0.524033119586914,0.033343333
2,41,-0.121579587589107,0.951399171046023,-0.691285237110189,0.043102959
3,41,-0.124889340695651,0.953917867376862,-0.692169274985432,0.138191125
4,41,-0.121774566044596,0.95149740919366,-0.691317677819318,0.093279458
1,41,0.381984983727819,0,-0.537926261157806,0.134813083
2,41,0.381986387202326,0,-0.537926957930592,0.133777708
3,41,0.383479960759905,0,-0.538670023268928,0.538579458
4,41,0.382104645463907,0,-0.537985678660253,0.848779292
1,41,-0.546233892507237,0.481886875918308,-0.862625971437992,0.015794375
2,41,-0.546167645207512,0.481882522728217,-0.862689653367037,0.036187
3,41,-0.546211372110909,0.481995501379635,-0.862671761928648,0.067899583
4,41,-0.546217488939479,0.4819714161946,-0.862660511821143,0.115561625
1,41,-0.0305782427815173,0.350786066158208,-0.79003876780315,0.036079042
2,41,0.15804003781944,0.652501908037056,-0.792347735670457,0.063727042
3,41,0.158125336657104,0.65295337157433,-0.792281773530377,0.077160542
4,41,-0.0293139946223457,0.352499478094085,-0.78945430617271,0.064918375
1,41,0.512728546395734,0.366860740749121,-0.595308131664444,0.058333417
2,41,0.511575189811342,0.367564493694356,-0.593985929163263,0.050577042
3,41,0.511674052231934,0.36752166461038,-0.594087266998917,0.09963925
4,41,0.511819380854468,0.367675876034611,-0.594087406142694,0.148120292
1,41,0.784129832385455,0.431109543624474,-0.957308311922236,0.025596834
2,41,0.783903634078902,0.431161225871995,-0.957410593299781,0.063860292
3,41,0.784018390578877,0.431177877933016,-0.957400422030716,0.089618791
4,41,0.783857973003606,0.431169672005768,-0.957429312262455,0.11168425
1,51,-0.544330213588386,0.582824168519998,-0.609311229894651,0.030506917
2,51,0.511550861962969,0.112875496916013,-0.620679409309671,0.086466708
3,51,0.511728533948137,0.115073215197544,-0.621443729412664,0.149196708
4,51,0.511631750495494,0.113103339556752,-0.620701633920685,0.14010425
1,51,0.146595576185743,0.497735578954473,-0.409521718091152,1.016792458
2,51,-0.424365285928992,0.905491084494157,-0.505241679096113,1.376875458
3,51,0.143477299348662,0.50159043529491,-0.407120350531715,0.174873209
4,51,-0.17033795269599,0.897037303486386,-0.476252797208221,1.514264208
1,51,0.49862693442131,0.255409591969775,-0.49099199271261,0.049967583
2,51,0.498310523203781,0.255499707330206,-0.490887716067377,0.099247834
3,51,0.497887068963787,0.255734175454019,-0.490634715962458,0.089911292
4,51,0.497669100469798,0.255799450999478,-0.490559984277654,0.102620334
1,51,-0.129579356675227,0.13470688873885,-0.53623144977663,0.04624425
2,51,-0.129510688621378,0.134871076753037,-0.536409390844265,0.125304541
3,51,-0.129499168591347,0.134885061422704,-0.536426641950928,0.064418916
4,51,-0.129518013276709,0.134785746770892,-0.536327391222159,0.094594292
1,51,-0.459461215857668,0.888197833324645,-0.722960883368673,0.208232625
2,51,-0.462524952885364,0.886606264335185,-0.72419261476838,1.46963875
3,51,-0.458439170683983,0.888725788296132,-0.722551196395359,0.404701
4,51,-0.457785163452092,0.889062845991858,-0.722289355150129,0.270260542
1,51,0.71776854160155,0.696281782532894,-0.531110308964486,0.031958875
2,51,0.487916794306487,0.292861207284177,-0.552377294106303,0.432847333
3,51,-0.364916558914236,0.931040227396321,-0.580701730601113,0.124237709
4,51,-0.364893821583965,0.931049138858873,-0.58072044572184,0.17841275
1,51,-0.447906714435527,0.138642003878332,-0.732282165288387,0.044036292
2,51,-0.447870440591295,0.138488885862125,-0.732328981294025,0.048664125
3,51,-0.447801155569525,0.138341490793659,-0.732344512067988,0.14135625
